File Name,0523FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,10/29/2025 16:02:48 UTC,,,,,,,,
Run Ended,10/29/2025 17:10:44 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,100.0,0.934,,,,,,,
HEX,124.1,0.881,,,,,,,
Cy5,147.6,0.839,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
C02,HEX,Std-03,3,32.39064176,1000,32.04063637,0.315168106,0,
C03,HEX,Std-03,3,31.77930231,1000,32.04063637,0.315168106,0,
C04,HEX,Unkn-03,3,NaN,NaN,0,0,0,
C05,HEX,Unkn-03,3,NaN,NaN,0,0,0,
C06,HEX,Unkn-11,11,37.9438553,27.31402301,37.53962314,0.571670593,17.76899708,
C07,HEX,Unkn-11,11,37.13539099,52.44317966,37.53962314,0.571670593,17.76899708,
C08,HEX,Unkn-19,19,32.26950332,2659.506715,32.33543661,0.09324375,189.8137877,
C09,HEX,Unkn-19,19,32.4013699,2391.069482,32.33543661,0.09324375,189.8137877,
C10,HEX,Unkn-27,27,NaN,NaN,0,0,0,
C11,HEX,Unkn-27,27,NaN,NaN,0,0,0,
C12,HEX,NTC-03,3,NaN,NaN,0,0,0,
D01,HEX,Std-04,4,31.13905774,10000,31.33794778,0.264076986,0,
D02,HEX,Std-04,4,31.23722108,10000,31.33794778,0.264076986,0,
D03,HEX,Std-04,4,31.63756452,10000,31.33794778,0.264076986,0,
D04,HEX,Unkn-04,4,NaN,NaN,0,0,0,
D05,HEX,Unkn-04,4,NaN,NaN,0,0,0,
D06,HEX,Unkn-12,12,NaN,NaN,0,0,0,
D07,HEX,Unkn-12,12,NaN,NaN,0,0,0,
D08,HEX,Unkn-20,20,33.0773327,1385.862805,33.40474982,0.463037734,402.2066684,
D09,HEX,Unkn-20,20,33.73216694,817.0566793,33.40474982,0.463037734,402.2066684,
D10,HEX,Unkn-28,28,36.89828574,63.5003055,37.18776027,0.409378812,16.75757804,
D11,HEX,Unkn-28,28,37.47723481,39.80151136,37.18776027,0.409378812,16.75757804,
E01,HEX,Std-05,5,29.86118203,100000,30.08224378,0.197338649,0,
E02,HEX,Std-05,5,30.24064238,100000,30.08224378,0.197338649,0,
E03,HEX,Std-05,5,30.14490691,100000,30.08224378,0.197338649,0,
E04,HEX,Unkn-05,5,NaN,NaN,0,0,0,
E05,HEX,Unkn-05,5,NaN,NaN,0,0,0,
E06,HEX,Unkn-13,13,NaN,NaN,0,0,0,
E07,HEX,Unkn-13,13,NaN,NaN,0,0,0,
E08,HEX,Unkn-21,21,NaN,NaN,0,0,0,
E09,HEX,Unkn-21,21,NaN,NaN,0,0,0,
E10,HEX,Unkn-29,29,NaN,NaN,0,0,0,
E11,HEX,Unkn-29,29,NaN,NaN,0,0,0,
F01,HEX,Std-06,6,28.00284852,1000000,27.23570683,0.830890654,0,
F02,HEX,Std-06,6,26.35313749,1000000,27.23570683,0.830890654,0,
F03,HEX,Std-06,6,27.35113446,1000000,27.23570683,0.830890654,0,
F04,HEX,Unkn-06,6,NaN,NaN,0,0,0,
F05,HEX,Unkn-06,6,NaN,NaN,0,0,0,
F06,HEX,Unkn-14,14,NaN,NaN,0,0,0,
F07,HEX,Unkn-14,14,NaN,NaN,0,0,0,
F08,HEX,Unkn-23,23,NaN,NaN,0,0,0,
F09,HEX,Unkn-22,22,NaN,NaN,0,0,0,
